2017-04-11 14:43:38 startup archives install
2017-04-11 14:43:38 install base-passwd:i386 <none> 3.5.39
2017-04-11 14:43:38 status half-installed base-passwd:i386 3.5.39
2017-04-11 14:43:38 status unpacked base-passwd:i386 3.5.39
2017-04-11 14:43:38 status unpacked base-passwd:i386 3.5.39
2017-04-11 14:43:38 configure base-passwd:i386 3.5.39 3.5.39
2017-04-11 14:43:38 status unpacked base-passwd:i386 3.5.39
2017-04-11 14:43:38 status half-configured base-passwd:i386 3.5.39
2017-04-11 14:43:38 status installed base-passwd:i386 3.5.39
2017-04-11 14:43:38 startup archives install
2017-04-11 14:43:38 install base-files:i386 <none> 9.4ubuntu4
2017-04-11 14:43:38 status half-installed base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 configure base-files:i386 9.4ubuntu4 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status unpacked base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status half-configured base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 status installed base-files:i386 9.4ubuntu4
2017-04-11 14:43:38 startup archives install
2017-04-11 14:43:38 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2017-04-11 14:43:38 status half-configured dpkg 1.18.4ubuntu1
2017-04-11 14:43:38 status unpacked dpkg 1.18.4ubuntu1
2017-04-11 14:43:38 status half-installed dpkg 1.18.4ubuntu1
2017-04-11 14:43:39 status half-installed dpkg 1.18.4ubuntu1
2017-04-11 14:43:39 status unpacked dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 status unpacked dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 configure dpkg:i386 1.18.4ubuntu1 1.18.4ubuntu1
2017-04-11 14:43:39 status unpacked dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 status unpacked dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 status unpacked dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 status unpacked dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 status unpacked dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 status half-configured dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 status installed dpkg:i386 1.18.4ubuntu1
2017-04-11 14:43:39 startup archives install
2017-04-11 14:43:39 install libc6:i386 <none> 2.23-0ubuntu3
2017-04-11 14:43:39 status half-installed libc6:i386 2.23-0ubuntu3
